identifier	text	seq	syn	dep_left	dep_right	chunk
sunglasses	spectacles that are darkened or polarized to protect the eyes from the glare of the sun.	['spectacles', 'that', 'are', 'darkened', 'or', 'polarized', 'to', 'protect', 'the', 'eyes', 'from', 'the', 'glare', 'of', 'the', 'sun', '.']	[['spectacles', ['that', ['are', ['darkened', 'or', 'polarized', ['to', ['protect', ['the', 'eyes'], ['from', [['the', 'glare'], ['of', ['the', 'sun']]]]]]]]]], '.']	['spectacles', ['darkened', 'that', 'are', 'or', 'polarized', ['protect', 'to', ['eyes', 'the'], ['glare', 'from', 'the', ['sun', 'of', 'the']]]], '.']	[['that', 'are', 'or', 'polarized', ['to', ['the', 'eyes'], ['from', 'the', ['of', 'the', 'sun'], 'glare'], 'protect'], 'darkened'], '.', 'spectacles']	['spectacles', 'that', 'are', 'darkened', 'or', 'polarized', 'to', 'protect', ['the', 'eyes'], 'from', ['the', 'glare'], 'of', ['the', 'sun'], '.']
sunlight	the rays of the sun.	['the', 'rays', 'of', 'the', 'sun', '.']	[['the', 'rays'], ['of', ['the', 'sun']], '.']	['rays', 'the', ['sun', 'of', 'the'], '.']	['the', ['of', 'the', 'sun'], '.', 'rays']	[['the', 'rays'], 'of', ['the', 'sun'], '.']
sunny	bright and pleasant.	['bright', 'and', 'pleasant', '.']	[['bright', 'and', 'pleasant'], '.']	['bright', 'and', 'pleasant', '.']	['and', 'pleasant', '.', 'bright']	['bright', 'and', 'pleasant', '.']
sunrise	the first light of day.	['the', 'first', 'light', 'of', 'day', '.']	[['the', 'first', 'light'], ['of', 'day'], '.']	['light', 'the', 'first', ['day', 'of'], '.']	['the', 'first', ['of', 'day'], '.', 'light']	[['the', 'first', 'light'], 'of', 'day', '.']
sunset	the time in the evening at which the sun begins to fall below the horizon.	['the', 'time', 'in', 'the', 'evening', 'at', 'which', 'the', 'sun', 'begins', 'to', 'fall', 'below', 'the', 'horizon', '.']	[['the', 'time'], ['in', [['the', 'evening'], [['at', 'which'], [['the', 'sun'], ['begins', ['to', ['fall', ['below', ['the', 'horizon']]]]]]]]], '.']	['time', 'the', ['evening', 'in', 'the', ['begins', ['which', 'at'], ['sun', 'the'], ['fall', 'to', ['horizon', 'below', 'the']]]], '.']	['the', ['in', 'the', [['at', 'which'], ['the', 'sun'], ['to', ['below', 'the', 'horizon'], 'fall'], 'begins'], 'evening'], '.', 'time']	[['the', 'time'], 'in', ['the', 'evening'], 'at', 'which', ['the', 'sun'], 'begins', 'to', 'fall', 'below', ['the', 'horizon'], '.']
sunshine	the rays of the sun.	['the', 'rays', 'of', 'the', 'sun', '.']	[['the', 'rays'], ['of', ['the', 'sun']], '.']	['rays', 'the', ['sun', 'of', 'the'], '.']	['the', ['of', 'the', 'sun'], '.', 'rays']	[['the', 'rays'], 'of', ['the', 'sun'], '.']
surf	waves breaking on the shore.	['waves', 'breaking', 'on', 'the', 'shore', '.']	['waves', ['breaking', ['on', ['the', 'shore']]], '.']	['waves', ['breaking', ['shore', 'on', 'the']], '.']	[[['on', 'the', 'shore'], 'breaking'], '.', 'waves']	['waves', 'breaking', 'on', ['the', 'shore'], '.']
surfer	someone who engages in surfboarding.	['someone', 'who', 'engages', 'in', 'surfboarding', '.']	[['someone', ['who', ['engages', ['in', 'surfboarding']]]], '.']	['someone', ['engages', 'who', ['surfboarding', 'in']], '.']	[['who', ['in', 'surfboarding'], 'engages'], '.', 'someone']	['someone', 'who', 'engages', 'in', 'surfboarding', '.']
sushi	rice (with raw fish) wrapped in seaweed.	['rice', '(', 'with', 'raw', 'fish', ')', 'wrapped', 'in', 'seaweed', '.']	[['rice', ['-LRB-', ['with', ['raw', 'fish']], '-RRB-']], ['wrapped', ['in', 'seaweed']], '.']	['wrapped', ['rice', ['fish', '-LRB-', 'with', 'raw', '-RRB-']], ['seaweed', 'in'], '.']	[[['-LRB-', 'with', 'raw', '-RRB-', 'fish'], 'rice'], ['in', 'seaweed'], '.', 'wrapped']	['rice', '(', 'with', ['raw', 'fish'], ')', 'wrapped', 'in', 'seaweed', '.']
swan	stately heavy-bodied aquatic bird with very long neck and usually white plumage as adult.	['stately', 'heavy-bodied', 'aquatic', 'bird', 'with', 'very', 'long', 'neck', 'and', 'usually', 'white', 'plumage', 'as', 'adult', '.']	[['stately', 'heavy-bodied', 'aquatic', 'bird'], ['with', [[['very', 'long'], 'neck'], 'and', [['usually', 'white'], 'plumage']]], ['as', 'adult'], '.']	['bird', 'stately', 'heavy-bodied', 'aquatic', ['neck', 'with', ['long', 'very'], 'and', ['plumage', ['white', 'usually'], ['adult', 'as']]], '.']	['stately', 'heavy-bodied', 'aquatic', ['with', ['very', 'long'], 'and', [['usually', 'white'], ['as', 'adult'], 'plumage'], 'neck'], '.', 'bird']	[['stately', 'heavy', '-', 'bodied', 'aquatic', 'bird'], 'with', ['very', 'long', 'neck'], 'and', ['usually', 'white', 'plumage'], 'as', 'adult', '.']
sweet	English phonetician.	['English', 'phonetician', '.']	['English', 'phonetician', '.']	['phonetician', 'English', '.']	['English', '.', 'phonetician']	[['English', 'phonetician'], '.']
swim	the act of swimming.	['the', 'act', 'of', 'swimming', '.']	[['the', 'act'], ['of', 'swimming'], '.']	['act', 'the', ['swimming', 'of'], '.']	['the', ['of', 'swimming'], '.', 'act']	[['the', 'act'], 'of', 'swimming', '.']
swimming	the act of swimming.	['the', 'act', 'of', 'swimming', '.']	[['the', 'act'], ['of', 'swimming'], '.']	['act', 'the', ['swimming', 'of'], '.']	['the', ['of', 'swimming'], '.', 'act']	[['the', 'act'], 'of', 'swimming', '.']
swimsuit	tight fitting garment worn for swimming.	['tight', 'fitting', 'garment', 'worn', 'for', 'swimming', '.']	[['tight', 'fitting', 'garment'], ['worn', ['for', 'swimming']], '.']	['garment', 'tight', 'fitting', ['worn', ['swimming', 'for']], '.']	['tight', 'fitting', [['for', 'swimming'], 'worn'], '.', 'garment']	[['tight', 'fitting', 'garment'], 'worn', 'for', 'swimming', '.']
swing	a state of steady vigorous action that is characteristic of an activity.	['a', 'state', 'of', 'steady', 'vigorous', 'action', 'that', 'is', 'characteristic', 'of', 'an', 'activity', '.']	[['a', 'state'], ['of', [['steady', 'vigorous', 'action'], ['that', ['is', 'characteristic']]]], ['of', ['an', 'activity']], '.']	['state', 'a', ['action', 'of', 'steady', 'vigorous'], ['characteristic', 'that', 'is', ['activity', 'of', 'an']], '.']	['a', ['of', 'steady', 'vigorous', 'action'], ['that', 'is', ['of', 'an', 'activity'], 'characteristic'], '.', 'state']	[['a', 'state'], 'of', ['steady', 'vigorous', 'action'], 'that', 'is', 'characteristic', 'of', ['an', 'activity'], '.']
table	a set of data arranged in rows and columns.	['a', 'set', 'of', 'data', 'arranged', 'in', 'rows', 'and', 'columns', '.']	[[['a', 'set'], ['of', 'data']], ['arranged', ['in', ['rows', 'and', 'columns']]], '.']	['set', 'a', ['data', 'of', ['arranged', ['rows', 'in', 'and', 'columns']]], '.']	['a', ['of', [['in', 'and', 'columns', 'rows'], 'arranged'], 'data'], '.', 'set']	[['a', 'set'], 'of', 'data', 'arranged', 'in', 'rows', 'and', 'columns', '.']
tag	a label written or printed on paper, cardboard, or plastic that is attached to something to indicate its owner, nature, price, etc.	['a', 'label', 'written', 'or', 'printed', 'on', 'paper', ',', 'cardboard', ',', 'or', 'plastic', 'that', 'is', 'attached', 'to', 'something', 'to', 'indicate', 'its', 'owner', ',', 'nature', ',', 'price', ',', 'etc', '.']	[['a', 'label'], ['written', 'or', 'printed', ['on', [['paper', ',', 'cardboard', ',', 'or', 'plastic'], ['that', ['is', ['attached', ['to', 'something'], ['to', ['indicate', [['its', 'owner'], ',', ['nature', ',', 'price', ',', 'etc.']]]]]]]]]], '.']	[['label', 'a', ['written', 'or', 'printed', ['paper', 'on', ',', 'cardboard', ',', 'or', ['plastic', ['attached', 'that', 'is', ['something', 'to', ['indicate', 'to', ['owner', 'its', ',', 'nature', ',', 'price', ',', 'etc.']]]]]]], '.'], 'etc']	['etc', ['a', ['or', 'printed', ['on', ',', 'cardboard', ',', 'or', [['that', 'is', ['to', ['to', ['its', ',', 'nature', ',', 'price', ',', 'etc.', 'owner'], 'indicate'], 'something'], 'attached'], 'plastic'], 'paper'], 'written'], '.', 'label']]	[['a', 'label'], 'written', 'or', 'printed', 'on', 'paper', ',', 'cardboard', ',', 'or', 'plastic', 'that', 'is', 'attached', 'to', 'something', 'to', 'indicate', ['its', 'owner'], ',', 'nature', ',', 'price', ',', 'etc', '.']
tall	a garment size for a tall person.	['a', 'garment', 'size', 'for', 'a', 'tall', 'person', '.']	[['a', 'garment', 'size'], ['for', ['a', 'tall', 'person']], '.']	['size', 'a', 'garment', ['person', 'for', 'a', 'tall'], '.']	['a', 'garment', ['for', 'a', 'tall', 'person'], '.', 'size']	[['a', 'garment', 'size'], 'for', ['a', 'tall', 'person'], '.']
tank	an enclosed armored military vehicle.	['an', 'enclosed', 'armored', 'military', 'vehicle', '.']	['an', ['enclosed', ['armored', 'military', 'vehicle']], '.']	['vehicle', 'an', 'enclosed', 'armored', 'military', '.']	['an', 'enclosed', 'armored', 'military', '.', 'vehicle']	[['an', 'enclosed', 'armored', 'military', 'vehicle'], '.']
tattoo	a drumbeat or bugle call that signals the military to return to their quarters.	['a', 'drumbeat', 'or', 'bugle', 'call', 'that', 'signals', 'the', 'military', 'to', 'return', 'to', 'their', 'quarters', '.']	[[['a', 'drumbeat', 'or', 'bugle', 'call'], ['that', ['signals', ['the', 'military'], ['to', ['return', ['to', ['their', 'quarters']]]]]]], '.']	['drumbeat', 'a', 'or', ['call', 'bugle'], ['signals', 'that', ['military', 'the'], ['return', 'to', ['quarters', 'to', 'their']]], '.']	['a', 'or', ['bugle', 'call'], ['that', ['the', 'military'], ['to', ['to', 'their', 'quarters'], 'return'], 'signals'], '.', 'drumbeat']	[['a', 'drumbeat', 'or', 'bugle', 'call'], 'that', 'signals', ['the', 'military'], 'to', 'return', 'to', ['their', 'quarters'], '.']
taxi	a car driven by a person whose job is to take passengers where they want to go in exchange for money.	['a', 'car', 'driven', 'by', 'a', 'person', 'whose', 'job', 'is', 'to', 'take', 'passengers', 'where', 'they', 'want', 'to', 'go', 'in', 'exchange', 'for', 'money', '.']	[['a', 'car'], ['driven', ['by', [['a', 'person'], [['whose', 'job'], ['is', ['to', ['take', 'passengers', ['where', ['they', ['want', ['to', ['go', ['in', ['exchange', ['for', 'money']]]]]]]]]]]]]]], '.']	['car', 'a', ['driven', ['person', 'by', 'a', ['is', ['job', 'whose'], ['take', 'to', 'passengers', ['want', 'where', 'they', ['go', 'to', ['exchange', 'in', ['money', 'for']]]]]]]], '.']	['a', [['by', 'a', [['whose', 'job'], ['to', 'passengers', ['where', 'they', ['to', ['in', ['for', 'money'], 'exchange'], 'go'], 'want'], 'take'], 'is'], 'person'], 'driven'], '.', 'car']	[['a', 'car'], 'driven', 'by', ['a', 'person'], ['whose', 'job'], 'is', 'to', 'take', 'passengers', 'where', 'they', 'want', 'to', 'go', 'in', 'exchange', 'for', 'money', '.']
tea	a beverage made by steeping tea leaves in water.	['a', 'beverage', 'made', 'by', 'steeping', 'tea', 'leaves', 'in', 'water', '.']	[[['a', 'beverage'], ['made', ['by', ['steeping', 'tea']]]], ['leaves', ['in', 'water']], '.']	['beverage', 'a', ['made', ['steeping', 'by', ['leaves', 'tea', ['water', 'in']]]], '.']	['a', [['by', ['tea', ['in', 'water'], 'leaves'], 'steeping'], 'made'], '.', 'beverage']	[['a', 'beverage'], 'made', 'by', 'steeping', ['tea', 'leaves'], 'in', 'water', '.']
tear	a drop of the clear salty saline solution secreted by the lacrimal glands.	['a', 'drop', 'of', 'the', 'clear', 'salty', 'saline', 'solution', 'secreted', 'by', 'the', 'lacrimal', 'glands', '.']	[[['a', 'drop'], ['of', ['the', ['clear', 'salty'], 'saline', 'solution']]], ['secreted', ['by', ['the', 'lacrimal', 'glands']]], '.']	['drop', 'a', ['solution', 'of', 'the', 'clear', 'salty', 'saline', ['secreted', ['glands', 'by', 'the', 'lacrimal']]], '.']	['a', ['of', 'the', 'clear', 'salty', 'saline', [['by', 'the', 'lacrimal', 'glands'], 'secreted'], 'solution'], '.', 'drop']	[['a', 'drop'], 'of', ['the', 'clear', 'salty', 'saline', 'solution'], 'secreted', 'by', ['the', 'lacrimal', 'glands'], '.']
television	broadcasting visual images of stationary or moving objects.	['broadcasting', 'visual', 'images', 'of', 'stationary', 'or', 'moving', 'objects', '.']	[[['broadcasting', [['visual', 'images'], ['of', 'stationary']]], 'or', ['moving', 'objects']], '.']	['broadcasting', ['images', 'visual', ['objects', 'of', ['stationary', 'or', 'moving']]], '.']	[['visual', ['of', ['or', 'moving', 'stationary'], 'objects'], 'images'], '.', 'broadcasting']	['broadcasting', ['visual', 'images'], 'of', ['stationary', 'or', 'moving', 'objects'], '.']
temple	place of worship consisting of an edifice for the worship of a deity.	['place', 'of', 'worship', 'consisting', 'of', 'an', 'edifice', 'for', 'the', 'worship', 'of', 'a', 'deity', '.']	[['place', ['of', 'worship']], ['consisting', ['of', [['an', 'edifice'], ['for', [['the', 'worship'], ['of', ['a', 'deity']]]]]]], '.']	['place', ['worship', 'of', ['consisting', ['edifice', 'of', 'an', ['worship', 'for', 'the', ['deity', 'of', 'a']]]]], '.']	[['of', [['of', 'an', ['for', 'the', ['of', 'a', 'deity'], 'worship'], 'edifice'], 'consisting'], 'worship'], '.', 'place']	['place', 'of', 'worship', 'consisting', 'of', ['an', 'edifice'], 'for', ['the', 'worship'], 'of', ['a', 'deity'], '.']
terrier	any of several usually small short-bodied breeds originally trained to hunt animals living underground.	['any', 'of', 'several', 'usually', 'small', 'short-bodied', 'breeds', 'originally', 'trained', 'to', 'hunt', 'animals', 'living', 'underground', '.']	['any', ['of', [['several', ['usually', 'small'], 'short-bodied', 'breeds'], ['originally', 'trained', ['to', ['hunt', 'animals']], ['living', 'underground']]]], '.']	['any', ['breeds', 'of', 'several', ['small', 'usually'], 'short-bodied', ['trained', 'originally', ['animals', 'to', 'hunt', ['underground', 'living']]]], '.']	[['of', 'several', ['usually', 'small'], 'short-bodied', ['originally', ['to', 'hunt', ['living', 'underground'], 'animals'], 'trained'], 'breeds'], '.', 'any']	['any', 'of', ['several', 'usually', 'small', 'short', '-', 'bodied', 'breeds'], 'originally', 'trained', 'to', ['hunt', 'animals'], 'living', 'underground', '.']
texture	the feel of a surface or a fabric.	['the', 'feel', 'of', 'a', 'surface', 'or', 'a', 'fabric', '.']	[['the', 'feel'], ['of', [['a', 'surface'], 'or', ['a', 'fabric']]], '.']	['feel', 'the', ['surface', 'of', 'a', 'or', ['fabric', 'a']], '.']	['the', ['of', 'a', 'or', ['a', 'fabric'], 'surface'], '.', 'feel']	[['the', 'feel'], 'of', ['a', 'surface'], 'or', ['a', 'fabric'], '.']
theatre	a building where theatrical performances or motion-picture shows can be presented.	['a', 'building', 'where', 'theatrical', 'performances', 'or', 'motion-picture', 'shows', 'can', 'be', 'presented', '.']	['a', 'building', ['where', [['theatrical', 'performances', 'or', 'motion-picture', 'shows'], ['can', ['be', 'presented']]]], '.']	['building', 'a', ['presented', 'where', ['performances', 'theatrical', 'or', ['shows', 'motion-picture']], 'can', 'be'], '.']	['a', ['where', ['theatrical', 'or', ['motion-picture', 'shows'], 'performances'], 'can', 'be', 'presented'], '.', 'building']	[['a', 'building'], 'where', ['theatrical', 'performances'], 'or', ['motion', '-', 'picture', 'shows'], 'can', 'be', 'presented', '.']
ticket	a commercial document showing that the holder is entitled to something (as to ride on public transportation or to enter a public entertainment).	['a', 'commercial', 'document', 'showing', 'that', 'the', 'holder', 'is', 'entitled', 'to', 'something', '(', 'as', 'to', 'ride', 'on', 'public', 'transportation', 'or', 'to', 'enter', 'a', 'public', 'entertainment', ')', '.']	[['a', 'commercial', 'document'], ['showing', ['that', [['the', 'holder'], ['is', ['entitled', ['to', 'something']], ['-LRB-', ['as', [['to', ['ride', ['on', ['public', 'transportation']]]], 'or', ['to', ['enter', ['a', 'public', 'entertainment']]]]], '-RRB-']]]]], '.']	['document', 'a', 'commercial', ['showing', ['entitled', 'that', ['holder', 'the'], 'is', ['something', 'to', ['ride', '-LRB-', 'as', 'to', ['transportation', 'on', 'public'], 'or', ['enter', 'to', ['entertainment', 'a', 'public']], '-RRB-']]]], '.']	['a', 'commercial', [['that', ['the', 'holder'], 'is', ['to', ['-LRB-', 'as', 'to', ['on', 'public', 'transportation'], 'or', ['to', ['a', 'public', 'entertainment'], 'enter'], '-RRB-', 'ride'], 'something'], 'entitled'], 'showing'], '.', 'document']	[['a', 'commercial', 'document'], 'showing', 'that', ['the', 'holder'], 'is', 'entitled', 'to', 'something', '(', 'as', 'to', 'ride', 'on', ['public', 'transportation'], 'or', 'to', 'enter', ['a', 'public', 'entertainment'], ')', '.']
tiger	a fierce or audacious person.	['a', 'fierce', 'or', 'audacious', 'person', '.']	[['a', ['fierce', 'or', 'audacious'], 'person'], '.']	['person', 'a', ['fierce', 'or', 'audacious'], '.']	['a', ['or', 'audacious', 'fierce'], '.', 'person']	[['a', 'fierce', 'or', 'audacious', 'person'], '.']
tile	a flat thin rectangular slab (as of fired clay or rubber or linoleum) used to cover surfaces.	['a', 'flat', 'thin', 'rectangular', 'slab', '(', 'as', 'of', 'fired', 'clay', 'or', 'rubber', 'or', 'linoleum', ')', 'used', 'to', 'cover', 'surfaces', '.']	[[['a', ['flat', 'thin'], 'rectangular', 'slab'], ['-LRB-', ['as', ['of', ['fired', ['clay', 'or', ['rubber', 'or', 'linoleum']]]]], '-RRB-']], ['used', ['to', ['cover', 'surfaces']]], '.']	['slab', 'a', 'flat', 'thin', 'rectangular', ['clay', '-LRB-', 'as', 'of', 'fired', 'or', 'rubber', 'or', 'linoleum', '-RRB-'], ['used', ['cover', 'to', 'surfaces']], '.']	['a', 'flat', 'thin', 'rectangular', ['-LRB-', 'as', 'of', 'fired', 'or', 'rubber', 'or', 'linoleum', '-RRB-', 'clay'], [['to', 'surfaces', 'cover'], 'used'], '.', 'slab']	[['a', 'flat', 'thin', 'rectangular', 'slab'], '(', 'as', 'of', ['fired', 'clay'], 'or', 'rubber', 'or', 'linoleum', ')', 'used', 'to', 'cover', 'surfaces', '.']
time	an instance or single occasion for some event.	['an', 'instance', 'or', 'single', 'occasion', 'for', 'some', 'event', '.']	[['an', 'instance', 'or', 'single', 'occasion'], ['for', ['some', 'event']], '.']	['instance', 'an', 'or', ['occasion', 'single'], ['event', 'for', 'some'], '.']	['an', 'or', ['single', 'occasion'], ['for', 'some', 'event'], '.', 'instance']	[['an', 'instance'], 'or', ['single', 'occasion'], 'for', ['some', 'event'], '.']
toe	one of the digits of the foot.	['one', 'of', 'the', 'digits', 'of', 'the', 'foot', '.']	['one', ['of', ['the', 'digits']], ['of', ['the', 'foot']], '.']	['one', ['digits', 'of', 'the', ['foot', 'of', 'the']], '.']	[['of', 'the', ['of', 'the', 'foot'], 'digits'], '.', 'one']	['one', 'of', ['the', 'digits'], 'of', ['the', 'foot'], '.']
tomato	mildly acid red or yellow pulpy fruit eaten as a vegetable.	['mildly', 'acid', 'red', 'or', 'yellow', 'pulpy', 'fruit', 'eaten', 'as', 'a', 'vegetable', '.']	['mildly', [['acid', 'red', 'or', 'yellow', 'pulpy', 'fruit'], ['eaten', ['as', ['a', 'vegetable']]]], '.']	['fruit', ['red', 'mildly', 'acid', 'or', 'yellow'], 'pulpy', ['eaten', ['vegetable', 'as', 'a']], '.']	[['mildly', 'acid', 'or', 'yellow', 'red'], 'pulpy', [['as', 'a', 'vegetable'], 'eaten'], '.', 'fruit']	[['mildly', 'acid', 'red', 'or', 'yellow', 'pulpy', 'fruit'], 'eaten', 'as', ['a', 'vegetable'], '.']
tongue	a mobile mass of muscular tissue covered with mucous membrane and located in the oral cavity	['a', 'mobile', 'mass', 'of', 'muscular', 'tissue', 'covered', 'with', 'mucous', 'membrane', 'and', 'located', 'in', 'the', 'oral', 'cavity']	[['a', 'mobile', 'mass'], ['of', [['muscular', 'tissue'], [['covered', ['with', ['mucous', 'membrane']]], 'and', ['located', ['in', ['the', 'oral', 'cavity']]]]]]]	['mass', 'a', 'mobile', ['tissue', 'of', 'muscular'], ['covered', ['membrane', 'with', 'mucous', 'and', ['located', ['cavity', 'in', 'the', 'oral']]]]]	['a', 'mobile', ['of', 'muscular', 'tissue'], [['with', 'mucous', 'and', [['in', 'the', 'oral', 'cavity'], 'located'], 'membrane'], 'covered'], 'mass']	[['a', 'mobile', 'mass'], 'of', ['muscular', 'tissue'], 'covered', 'with', ['mucous', 'membrane'], 'and', 'located', 'in', ['the', 'oral', 'cavity']]
tower	a structure taller than its diameter.	['a', 'structure', 'taller', 'than', 'its', 'diameter', '.']	[['a', 'structure'], ['taller', ['than', ['its', 'diameter']]], '.']	['structure', 'a', ['taller', ['diameter', 'than', 'its']], '.']	['a', [['than', 'its', 'diameter'], 'taller'], '.', 'structure']	[['a', 'structure'], 'taller', 'than', ['its', 'diameter'], '.']
town	an urban area with a fixed boundary that is smaller than a city.	['an', 'urban', 'area', 'with', 'a', 'fixed', 'boundary', 'that', 'is', 'smaller', 'than', 'a', 'city', '.']	[['an', 'urban', 'area'], ['with', [['a', 'fixed', 'boundary'], ['that', ['is', ['smaller', ['than', ['a', 'city']]]]]]], '.']	['area', 'an', 'urban', ['boundary', 'with', 'a', 'fixed', ['smaller', 'that', 'is', ['city', 'than', 'a']]], '.']	['an', 'urban', ['with', 'a', 'fixed', ['that', 'is', ['than', 'a', 'city'], 'smaller'], 'boundary'], '.', 'area']	[['an', 'urban', 'area'], 'with', ['a', 'fixed', 'boundary'], 'that', 'is', 'smaller', 'than', ['a', 'city'], '.']
toy	an artifact designed to be played with.	['an', 'artifact', 'designed', 'to', 'be', 'played', 'with', '.']	[['an', 'artifact'], ['designed', ['to', ['be', ['played', 'with']]]], '.']	['artifact', 'an', ['designed', ['played', 'to', 'be', 'with']], '.']	['an', [['to', 'be', 'with', 'played'], 'designed'], '.', 'artifact']	[['an', 'artifact'], 'designed', 'to', 'be', 'played', 'with', '.']
track	a line or route along which something travels or moves.	['a', 'line', 'or', 'route', 'along', 'which', 'something', 'travels', 'or', 'moves', '.']	[[['a', 'line', 'or', 'route'], ['along', ['which', 'something']]], ['travels', 'or', 'moves'], '.']	['line', 'a', 'or', 'route', ['travels', ['which', 'along'], 'something', 'or', 'moves'], '.']	['a', 'or', 'route', [['along', 'which'], 'something', 'or', 'moves', 'travels'], '.', 'line']	[['a', 'line'], 'or', 'route', 'along', 'which', 'something', 'travels', 'or', 'moves', '.']
traffic	the aggregation of things (pedestrians or vehicles) coming and going in a particular locality during a specified period of time.	['the', 'aggregation', 'of', 'things', '(', 'pedestrians', 'or', 'vehicles', ')', 'coming', 'and', 'going', 'in', 'a', 'particular', 'locality', 'during', 'a', 'specified', 'period', 'of', 'time', '.']	[[['the', 'aggregation'], ['of', ['things', ['-LRB-', ['pedestrians', 'or', 'vehicles'], '-RRB-']]]], ['coming', 'and', 'going', ['in', ['a', 'particular', 'locality']], ['during', [['a', 'specified', 'period'], ['of', 'time']]]], '.']	['aggregation', 'the', ['things', 'of', ['pedestrians', '-LRB-', 'or', 'vehicles', '-RRB-'], ['coming', 'and', ['going', ['locality', 'in', 'a', 'particular']], ['period', 'during', 'a', 'specified', ['time', 'of']]]], '.']	['the', ['of', ['-LRB-', 'or', 'vehicles', '-RRB-', 'pedestrians'], ['and', [['in', 'a', 'particular', 'locality'], 'going'], ['during', 'a', 'specified', ['of', 'time'], 'period'], 'coming'], 'things'], '.', 'aggregation']	[['the', 'aggregation'], 'of', 'things', '(', 'pedestrians', 'or', 'vehicles', ')', 'coming', 'and', 'going', 'in', ['a', 'particular', 'locality'], 'during', ['a', 'specified', 'period'], 'of', 'time', '.']
trail	a track or mark left by something that has passed.	['a', 'track', 'or', 'mark', 'left', 'by', 'something', 'that', 'has', 'passed', '.']	[['a', ['track', 'or', 'mark']], ['left', ['by', ['something', ['that', ['has', 'passed']]]]], '.']	['track', 'a', 'or', 'mark', ['left', ['something', 'by', ['passed', 'that', 'has']]], '.']	['a', 'or', 'mark', [['by', ['that', 'has', 'passed'], 'something'], 'left'], '.', 'track']	[['a', 'track'], 'or', 'mark', 'left', 'by', 'something', 'that', 'has', 'passed', '.']
train	public transport provided by a line of railway cars coupled together and drawn by a locomotive.	['public', 'transport', 'provided', 'by', 'a', 'line', 'of', 'railway', 'cars', 'coupled', 'together', 'and', 'drawn', 'by', 'a', 'locomotive', '.']	[[['public', 'transport'], ['provided', ['by', [['a', 'line'], ['of', ['railway', 'cars']]]]]], [['coupled', 'together'], 'and', ['drawn', ['by', ['a', 'locomotive']]]], '.']	['transport', 'public', ['provided', ['line', 'by', 'a', ['cars', 'of', 'railway', ['coupled', 'together', 'and', ['drawn', ['locomotive', 'by', 'a']]]]]], '.']	['public', [['by', 'a', ['of', 'railway', ['together', 'and', [['by', 'a', 'locomotive'], 'drawn'], 'coupled'], 'cars'], 'line'], 'provided'], '.', 'transport']	[['public', 'transport'], 'provided', 'by', ['a', 'line'], 'of', ['railway', 'cars'], 'coupled', 'together', 'and', 'drawn', 'by', ['a', 'locomotive'], '.']
tram	a conveyance that transports passengers or freight in carriers suspended from cables and supported by a series of towers.	['a', 'conveyance', 'that', 'transports', 'passengers', 'or', 'freight', 'in', 'carriers', 'suspended', 'from', 'cables', 'and', 'supported', 'by', 'a', 'series', 'of', 'towers', '.']	[[['a', 'conveyance'], ['that', ['transports', ['passengers', 'or', 'freight'], ['in', 'carriers']]]], [['suspended', ['from', 'cables']], 'and', ['supported', ['by', [['a', 'series'], ['of', 'towers']]]]], '.']	['conveyance', 'a', ['transports', 'that', ['passengers', 'or', 'freight'], ['carriers', 'in', ['suspended', ['cables', 'from']]], 'and', ['supported', ['series', 'by', 'a', ['towers', 'of']]]], '.']	['a', ['that', ['or', 'freight', 'passengers'], ['in', [['from', 'cables'], 'suspended'], 'carriers'], 'and', [['by', 'a', ['of', 'towers'], 'series'], 'supported'], 'transports'], '.', 'conveyance']	[['a', 'conveyance'], 'that', 'transports', 'passengers', 'or', 'freight', 'in', 'carriers', 'suspended', 'from', 'cables', 'and', 'supported', 'by', ['a', 'series'], 'of', 'towers', '.']
transformer	an electrical device by which alternating current of one voltage is changed to another voltage.	['an', 'electrical', 'device', 'by', 'which', 'alternating', 'current', 'of', 'one', 'voltage', 'is', 'changed', 'to', 'another', 'voltage', '.']	[[['an', 'electrical', 'device'], ['by', ['which', ['alternating', ['current', ['of', ['one', 'voltage']]]]]]], ['is', ['changed', ['to', ['another', 'voltage']]]], '.']	['device', 'an', 'electrical', ['changed', ['which', 'by'], ['alternating', ['current', ['voltage', 'of', 'one']]], 'is', ['voltage', 'to', 'another']], '.']	['an', 'electrical', [['by', 'which'], [[['of', 'one', 'voltage'], 'current'], 'alternating'], 'is', ['to', 'another', 'voltage'], 'changed'], '.', 'device']	[['an', 'electrical', 'device'], 'by', 'which', 'alternating', 'current', 'of', ['one', 'voltage'], 'is', 'changed', 'to', ['another', 'voltage'], 'is', 'changed', 'to', 'another', 'voltage', '.']
travel	the act of going from one place to another.	['the', 'act', 'of', 'going', 'from', 'one', 'place', 'to', 'another', '.']	[['the', 'act'], ['of', ['going', ['from', ['one', 'place']], ['to', 'another']]], '.']	['act', 'the', ['going', 'of', ['place', 'from', 'one'], ['another', 'to']], '.']	['the', ['of', ['from', 'one', 'place'], ['to', 'another'], 'going'], '.', 'act']	[['the', 'act'], 'of', 'going', 'from', ['one', 'place'], 'to', 'another', '.']
